content,docs,etc,howto,name,purpose,service,target
"
								- 상담센터 유선 문의(080-570-7070)
							",,,,," 
								- 아일리아 주사로 당뇨병성 황반부종에 의한 시력 손상을 치료받는 건강보험 적용 대상자,- DME 환자 중 중위소득의 140% 이하인 환자
							",아일리아 주사 당뇨병성 황반부종 환자 약제비 지원,"
								- 아일리아 주사 약제비에 해당하는 환자 본인부담금의 50%를 지원
							"
"
								신장이식수술비 최대 500만원,▶500만원 한도 내 잔액 발생 시, 기증자 수술비로 전환 가능
							","
								- 필수서류,① 주민등록등본 1부 ,② 소득증명서류 1부(수급자증명서, 차상위계층증명서, 건강보험료납입증명서 중 택1),③ 주거증명서류(임대차 계약서, 무료임대확인서, 등기부등본 중 택 1),④ 의료증명서류(장애인 증명서, 의료진단서, 의사소견서 중 택1),- 선택서류,⑤ 부채증명원 1부 (부채가 있는 경우)
							","
								,
							","
								신청서 및 구비서류 이메일 접수 ,메일주소 miral4664@hanmail.net,신청서 : 첨부파일 참조
							",,"
								한국자산관리공사와 함께하는 신장이식수술비지원사업은 경제적 어려움으로 신장이식을 받지 못하는 저소득취약계층을 대상으로 신장이식수술비를 지원합니다.
							",한국자산관리공사와 함께하는 '신장이식수술비지원사업'," 
								기본대상 : 기초생활수급자, 차상위계층 신장장애인 ,지원대상 : 신장이식수술이 확정된 자, 신장이식수술 후 30일 이내 대상자(퇴원 전)
							"
"
								삼성서울병원에서의 진행되는 안과 외래, 입원 등에 대한 본인부담금 전액 지원
							","
								1)공통서류: 신청서(소정양식), 주민등록등본, 거주지관련 서류(시설보호아동의 경우 시설입소확인원 및 아동 정보 관련 자료),2)국민기초생활보장수급권자인 경우 : 수급자 증명서,3)차상위본인부담경감대상자인 경우 : 차상위본인부담경감대상자 증명서,4)중위소득 60%이하 저소득층 ,  -세목별과세증명서(등본상 성인 각 1통),  -건강보험증 사본 ,  -건강보험료납입증명서,  -전/월세 계약서 사본(자가인 경우 등기부등본),  -근로소득원천징수영수증(자영업자인 경우 소득금액증명원),  -부채증명서(해당자에 한함),  *상기 서류 외에도 필요 시 별도 추가 서류 요청할 수 있음.
							","
								,
							","
								우편접수: (우편번호 06351),서울시 강남구 일원로 81 삼성서울병원 본관지하2층 사회사업팀,*개인정보 보호법에 의거하여, 제출하는 모든 서류에서 주민번호 뒷자리는 삭제 후 제출 요망
							",,"
								-의료적, 사회적 취약계층에 있는 보호시설 및 생활보호대상자, 저소득층 가정의 안질환 소아청소년 환자들에게 진료 및 수술을 지원한다.,-정밀검사 및 수술지원을 통하여 안과 진료에 접근도가 떨어지고 지속적인 검진과 치료가 필요한 안질환을 가지고 있는 아동들을 적기에 발견, 치료하여 시각장애를 예방하고, 눈 건강을 증진시키는데 일조하여 안정적인 사회생활을 할 수 있도록 지지한다.
							",삼성 저소득 소아청소년 개안수술 지원사업 'HEART FOR EYE'," 
								* 아래 기준에 모두 해당되는 대상자,-연령 기준 : 만 24세 미만 아동 청소년,-경제적 기준 : 중위소득 60% 이하 저소득층,-의료적 상황 : 사시, 안검하수, 백내장, 녹내장, 의안 삽입, 각막이식 등의 안질환으로 수술 및 치료가 필요한 아동 청소년
							"
"
								- 매년 12월 홈페이지 공고 참조(www.busrugy.or.kr)
							",,,"
								,
							",," 
								- 저소득 가정 아동(만2세~17세(고2)))
							",부스러기장학생,"
								- 희망장학금 월 6만원 / 건강장학금 월 10만원 / 꿈장학금 월 10만원
							"
"
								- 시군구 희망복지지원단만 신청가능
							",,,,," 
								- 희망복지지원단 통합사례관리가구의 11~18세 청소녀
							",여성용품 지원사업,"
								- 한국피앤지 위스퍼 데이패드 생리대 1박스(240개, 1년분) 지원
							"
"
								1. 과목수, 기간 제한없이 정규 과정 무료수강혜택,2. 취업지원,- 교육지원 학원 안내,1. 컴퓨터 디자인 분야: SBS아카데미컴퓨터아트학원 (서울, 인천, 부산, 대구, 대전, 광주, 수원),2. 게임기획 및 개발/제작 분야:  SBS아카데미게임학원 (서울(강남, 인천, 부산, 대구, 대전, 광주, 수원),3. 미용/뷰티 분야: 올댓뷰티아카데미학원(서울, 부산, 대구),4. 프로그래밍/IT 및 보안, 네트워크분야: 코리아정보보안IT학원 (서울),5. 항공운항분야: 코리아승무원아카데미 (서울, 부산),6. 항공사 지상직, 항공운항과 대학입시분야” 코리아지상직아카데미 (서울, 부산),7. 대기업 및 외국계 취업컨설팅 분야: 코리아 취업아카데미 (서울),8. 컴퓨터 디자인 분야 (국비전문): 굿잡아카데미컴퓨터아트학원 (서울),9. 요리자격증 및 바리스타, 제과제빵: 코리아요리아트아카데미학원 (서울),10. 전 교육분야 프리미엄 온라인 강좌
							","
								기초생활수급자 증명서
							","
								자세한 사항은 사이트 참고.
							","
								인터넷 검색창에 “JTB그룹 교육나눔” 입력 후 홈페이지 내 “무료교육신청” 클릭  (www.jtbhare.com)
							",,"
								학업의 불균형을 해소하고 교육 소외계층에게 동일하고 안정적인 교육 기회를 제공.,기초생활수급자를 위한 무료교육제공의 인적 지원 장학사업
							",저소득층을 위한 교육나눔," 
								만 17세~28세의 기초생활수급자 본인, 자녀 및 손 자녀,: 손 자녀의 경우는 조손(祖孫)가정에 한함 (주민등록등본 상 조부모와 동일 세대를 이루고 있어야 함.
							"
"
								신청인 주소지 기준 담당 지역 기관의 우편 및 이메일 접수,※ 이메일 참조
							",,,,," 
								학습, 사회, 일상생활을 영위함에 있어 보조기기가 필요한 중증 1~2급 지체·퇴병변 장애인(만 20세 이하), 저소득, 중위소득 150% 이하
							",장애인 보조기기 지원사업,"
								1인 150만원 이내의 일상생활 보조기기 1품목
							"
"
								- 지역보건소
							",,,,," 
								- 취학전 아동, 농어촌 아동 등
							",자가시력검진,"
								- 눈 건강을 위한 생활습관을 위한 가정용 자가시력검진 키트 제공
							"
"
								- 대상별로 접수기간이 다름, 홈페이지 참조(jnmsangji.com, 02-446-3982),ㆍ장애인 매년 11~12월, 아동 매년 6월 초, 노인 매년 1~2월
							",,,"
								,
							",," 
								- 대전시 거주 1인이상 장애인 포함, 4인가족으로 저소득장애인 가정(국민기초생활수급권자 및 타 단체 지원대상 가정 제외),- 서울 강동구 거주 저소득 가정 초등학생(주민등록상),- 서울 관악구 내 거주 독거노인
							",요보호가정 지원사업,"
								- 장애인 월 15~25만원의 생활비(1년),- 아동 월 5~7만원의 학습비(1년),- 노인 연간 200만원 내외의 생활비
							"
,,,,," 
								- 저소득가정 자녀
							",걱정해결사업(예체능특기생 결연후원),"
								- 공동모금회를 통해 메리츠화재와 업무협약을 진행한 지자체 예산 지원
							"
