기관코드,유형_1,유형_2,대표기관명,전체기관명,최하위기관명,대표전화번호,새우편번호,도로명주소 - 예: 서울특별시 중구 동호로5길 15 (신당동),비고 
6420000,지자체,2시도_도,강원도,강원도청,강원도청,033-254-2011,24266,강원도 춘천시 중앙로 1 (봉의동),
4200000,지자체,3시군구_시,강원도,강원도 강릉시청,강릉시청,033-660-2018,25522,강원도 강릉시 강릉대로 33 (홍제동),
4210000,지자체,3시군구_시,강원도,강원도 동해시청,동해시청,033-530-2114,25755,강원도 동해시 천곡로 77 (천곡동),
4240000,지자체,3시군구_시,강원도,강원도 삼척시청,삼척시청,033-572-2011,25914,강원도 삼척시 중앙로 296,
4230000,지자체,3시군구_시,강원도,강원도 속초시청,속초시청,033-639-2114,24826,강원도 속초시 중앙로 183 (중앙동),
4190000,지자체,3시군구_시,강원도,강원도 원주시청,원주시청,033-742-2111,26384,강원도 원주시 시청로 1,
4180000,지자체,3시군구_시,강원도,강원도 춘천시청,춘천시청,033-253-3700,24347,강원도 춘천시 시청길 11 (옥천동),
4220000,지자체,3시군구_시,강원도,강원도 태백시청,태백시청,033-552-1360,26023,강원도 태백시 태붐로 21 (황지동),
4340000,지자체,4시군구_군,강원도,강원도 고성군청,고성군청,033-680-3114,24735,강원도 고성군 간성읍 고성중앙길 9,
4320000,지자체,4시군구_군,강원도,강원도 양구군청,양구군청,033-480-2191,24522,"강원도 양구군 양구읍 관공서로 38 (하리, 양구군청)",
4350000,지자체,4시군구_군,강원도,강원도 양양군청,양양군청,033-670-2114,25023,강원도 양양군 양양읍 군청길 1,
4270000,지자체,4시군구_군,강원도,강원도 영월군청,영월군청,1577-0545,26235,강원도 영월군 영월읍 하송로 64,
4330000,지자체,4시군구_군,강원도,강원도 인제군청,인제군청,033-461-2122,24631,강원도 인제군 인제읍 인제로187번길 8,
4290000,지자체,4시군구_군,강원도,강원도 정선군청,정선군청,033-562-3911,26131,강원도 정선군 정선읍 봉양3길 21,
4300000,지자체,4시군구_군,강원도,강원도 철원군청,철원군청,033-450-5114,24040,강원도 철원군 갈말읍 삼부연로 51,
4280000,지자체,4시군구_군,강원도,강원도 평창군청,평창군청,033-330-2000,25374,강원도 평창군 평창읍 군청길 77,
4250000,지자체,4시군구_군,강원도,강원도 홍천군청,홍천군청,033-432-7801,25121,강원도 홍천군 홍천읍 석화로 93,
4310000,지자체,4시군구_군,강원도,강원도 화천군청,화천군청,033-442-1211,24125,강원도 화천군 화천읍 화천새싹길 45,
4260000,지자체,4시군구_군,강원도,강원도 횡성군청,횡성군청,033-340-2114,25220,강원도 횡성군 횡성읍 태기로 15,
4200051,지자체,6읍면동_읍,강원도,강원도 강릉시 주문진읍사무소,주문진읍사무소,033-660-3414,25406,강원도 강릉시 주문진읍 항구로 19,
4340024,지자체,6읍면동_읍,강원도,강원도 고성군 간성읍사무소,간성읍사무소,033-681-2006,24729,강원도 고성군 간성읍 간성로67번길 14,
4340025,지자체,6읍면동_읍,강원도,강원도 고성군 거진읍사무소,거진읍사무소,033-681-2300,24722,강원도 고성군 거진읍 자산천로 240,
4240042,지자체,6읍면동_읍,강원도,강원도 삼척시 도계읍행정복지센터,도계읍행정복지센터,033-541-3100,25947,강원도 삼척시 도계읍 도계로 308,
4240043,지자체,6읍면동_읍,강원도,강원도 삼척시 원덕읍행정복지센터,원덕읍행정복지센터,033-572-6012,25961,강원도 삼척시 원덕읍 삼척로 440,
4320016,지자체,6읍면동_읍,강원도,강원도 양구군 양구읍사무소,양구읍사무소,033-480-2601,24523,"강원도 양구군 양구읍 관공서로 18 (상리, 양구읍사무소)",
4350019,지자체,6읍면동_읍,강원도,강원도 양양군 양양읍사무소,양양읍사무소,033-670-2611,25021,강원도 양양군 양양읍 관아길 32,
4270027,지자체,6읍면동_읍,강원도,강원도 영월군 상동읍사무소,상동읍사무소,1577-0545,26248,강원도 영월군 상동읍 태백산로 3189,
4270026,지자체,6읍면동_읍,강원도,강원도 영월군 영월읍사무소,영월읍사무소,1577-0545,26227,강원도 영월군 단종로 48-8,
4190037,지자체,6읍면동_읍,강원도,강원도 원주시 문막읍 행정복지센터,문막읍 행정복지센터,033-737-5501 ,26370,강원도 원주시 문막읍 건등로 11,
4330021,지자체,6읍면동_읍,강원도,강원도 인제군 인제읍사무소,인제읍사무소,033-461-2303,24631,강원도 인제군 인제읍 인제로205번길 9,
4290025,지자체,6읍면동_읍,강원도,강원도 정선군 고한읍 행정복지센터,고한읍 행정복지센터,033-560-2611,26155,강원도 정선군 고한읍 고한2길 1,
4290026,지자체,6읍면동_읍,강원도,강원도 정선군 사북읍 행정복지센터,사북읍 행정복지센터,033-560-2621,26150,강원도 정선군 사북읍 사북중앙로 65,
4290027,지자체,6읍면동_읍,강원도,강원도 정선군 신동읍 행정복지센터,신동읍 행정복지센터,033-560-2631,26142,강원도 정선군 신동읍 예미1길 1,
4290024,지자체,6읍면동_읍,강원도,강원도 정선군 정선읍 행정복지센터,정선읍 행정복지센터,033-560-2601,26131,강원도 정선군 정선읍 정선로 1331,
4300024,지자체,6읍면동_읍,강원도,강원도 철원군 갈말읍사무소,갈말읍사무소,033-450-5603,24038,강원도 철원군 갈말읍 명성로 178,
4300023,지자체,6읍면동_읍,강원도,강원도 철원군 김화읍사무소,김화읍사무소,033-450-5602,24054,강원도 철원군 김화읍 호국로 6510,
4300025,지자체,6읍면동_읍,강원도,강원도 철원군 동송읍사무소,동송읍사무소,033-450-5604,24013,강원도 철원군 동송읍 이평로 133,
4300022,지자체,6읍면동_읍,강원도,강원도 철원군 철원읍사무소,철원읍사무소,033-450-5601,24006,강원도 철원군 철원읍 금학로279번길 15-1,
4180061,지자체,6읍면동_읍,강원도,강원도 춘천시 신북읍사무소,신북읍사무소,033-250-3601,24206,강원도 춘천시 신북읍 율문길 75 (율문리),
4280022,지자체,6읍면동_읍,강원도,강원도 평창군 평창읍사무소,평창읍사무소,033-330-2601,25375,강원도 평창군 평창읍 노성로 127,
4250029,지자체,6읍면동_읍,강원도,강원도 홍천군 홍천읍사무소,홍천읍사무소,033-434-7790,25136,강원도 홍천군 홍천읍 홍천로 351,
4310020,지자체,6읍면동_읍,강원도,강원도 화천군 화천읍사무소,화천읍사무소,033-440-2601,24124,강원도 화천군 중앙로9길 9,
4260027,지자체,6읍면동_읍,강원도,강원도 횡성군 횡성읍사무소,횡성읍사무소,033-340-2601,25224,강원도 횡성군 횡성읍 태기로 85,
4200055,지자체,7읍면동_면,강원도,강원도 강릉시 강동면사무소,강동면사무소,033-660-3596,25620,강원도 강릉시 강동면 율곡로 2208,
4200054,지자체,7읍면동_면,강원도,강원도 강릉시 구정면사무소,구정면사무소,033-660-3567,25622,강원도 강릉시 구정면 구정중앙로 237,
4200057,지자체,7읍면동_면,강원도,강원도 강릉시 사천면사무소,사천면사무소,033-660-3656,25439,강원도 강릉시 사천면 미노길 67,
4200052,지자체,7읍면동_면,강원도,강원도 강릉시 성산면사무소,성산면사무소,033-660-3511,25450,강원도 강릉시 성산면 구산길 22,
4200058,지자체,7읍면동_면,강원도,강원도 강릉시 연곡면사무소,연곡면사무소,033-660-3681,25428,강원도 강릉시 연곡면 연주로 35-8,
4200056,지자체,7읍면동_면,강원도,강원도 강릉시 옥계면사무소,옥계면사무소,033-660-3626,25634,강원도 강릉시 옥계면 현내시장길 30,
4200053,지자체,7읍면동_면,강원도,강원도 강릉시 왕산면사무소,왕산면사무소,033-660-3541,25639,강원도 강릉시 왕산면 백두대간로 1997,
4340027,지자체,7읍면동_면,강원도,강원도 고성군 죽왕면사무소,죽왕면사무소,033-631-0006,24747,강원도 고성군 죽왕면 오호길 11,
4340028,지자체,7읍면동_면,강원도,강원도 고성군 토성면사무소,토성면사무소,033-631-6001,24764,강원도 고성군 토성면 천진1길 4,
4340026,지자체,7읍면동_면,강원도,강원도 고성군 현내면사무소,현내면사무소,033-681-0415,24704,강원도 고성군 현내면 한나루로 67,
4240048,지자체,7읍면동_면,강원도,강원도 삼척시 가곡면행정복지센터,가곡면행정복지센터,033-572-7011,25954,강원도 삼척시 가곡면 가곡천로 1477,
4240044,지자체,7읍면동_면,강원도,강원도 삼척시 근덕면행정복지센터,근덕면행정복지센터,033-572-3011,25933,강원도 삼척시 근덕면 삼척로 3639,
4240046,지자체,7읍면동_면,강원도,강원도 삼척시 노곡면행정복지센터,노곡면행정복지센터,033-572-8011,25940,강원도 삼척시 노곡면 미근로 886,
4240047,지자체,7읍면동_면,강원도,강원도 삼척시 미로면행정복지센터,미로면행정복지센터,033-572-0012,25904,강원도 삼척시 미로면 적병길 8,
4240049,지자체,7읍면동_면,강원도,강원도 삼척시 신기면행정복지센터,신기면행정복지센터,033-541-1800,25943,강원도 삼척시 신기면 신기길 15,
4240045,지자체,7읍면동_면,강원도,강원도 삼척시 하장면행정복지센터,하장면행정복지센터,033-552-0004,25901,강원도 삼척시 하장면 하장길 118,
4320017,지자체,7읍면동_면,강원도,강원도 양구군 남면사무소,남면사무소,033-480-2612,24554,"강원도 양구군 남면 삼팔선로 9 (용하리, 남면사무소)",
4320018,지자체,7읍면동_면,강원도,강원도 양구군 동면사무소,동면사무소,033-480-2622,24507,"강원도 양구군 동면 금강산로 1693 (임당리, 동면사무소)",
4320019,지자체,7읍면동_면,강원도,강원도 양구군 방산면사무소,방산면사무소,033-480-2632,24502,"강원도 양구군 방산면 장거리길 21 (현리, 방산면사무소)",
4320020,지자체,7읍면동_면,강원도,강원도 양구군 해안면사무소,해안면사무소,033-480-2642,24563,"강원도 양구군 펀치볼로 1307 (현리, 해안면사무소)",
4350024,지자체,7읍면동_면,강원도,강원도 양양군 강현면사무소,강현면사무소,033-670-2660,25001,강원도 양양군 강현면 동해대로 3509,
4350020,지자체,7읍면동_면,강원도,강원도 양양군 서면사무소,서면사무소,033-670-2621,25035,강원도 양양군 서면 물윗구미길 5,
4350021,지자체,7읍면동_면,강원도,강원도 양양군 손양면사무소,손양면사무소,033-670-2630,25044,강원도 양양군 손양면 손중로 209,
4350023,지자체,7읍면동_면,강원도,강원도 양양군 현남면사무소,현남면사무소,033-670-2650,25053,강원도 양양군 현남면 인구중앙길 45,
4350022,지자체,7읍면동_면,강원도,강원도 양양군 현북면사무소,현북면사무소,033-670-2640,25047,강원도 양양군 현북면 하조대1길 41-8,
4270060,지자체,7읍면동_면,강원도,강원도 영월군 김삿갓면사무소,김삿갓면사무소,1577-0545,26245,강원도 영월군 김삿갓면 옥동장터길36,
4270031,지자체,7읍면동_면,강원도,강원도 영월군 남면사무소,남면사무소,1577-0545,26216,강원도 영월군 남면 연당로 47-6,
4270078,지자체,7읍면동_면,강원도,강원도 영월군 무릉도원면사무소,무릉도원면사무소,1577-0545,26201,강원도 영월군 무릉도원면 무릉길 70-6,
4270030,지자체,7읍면동_면,강원도,강원도 영월군 북면사무소,북면사무소,1577-0545,26209,강원도 영월군 북면 봉래산로 987,
4270033,지자체,7읍면동_면,강원도,강원도 영월군 주천면사무소,주천면사무소,1577-0545,26203,강원도 영월군 주천면 주천로 103,
4270028,지자체,7읍면동_면,강원도,강원도 영월군 중동면사무소,중동면사무소,1577-0545,26243,강원도 영월군 중동면 태백산로 1202,
4270061,지자체,7읍면동_면,강원도,강원도 영월군 한반도면사무소,한반도면사무소,1577-0545,26212,강원도 영월군 한반도면 신천길 6-6,
4190042,지자체,7읍면동_면,강원도,강원도 원주시 귀래면 행정복지센터,귀래면 행정복지센터,033-737-5506 ,26503,강원도 원주시 귀래면 북원로 106,
4190041,지자체,7읍면동_면,강원도,강원도 원주시 부론면 행정복지센터,부론면 행정복지센터,033-737-5505,26498,강원도 원주시 부론면 법천시장길 59,
4190038,지자체,7읍면동_면,강원도,강원도 원주시 소초면 행정복지센터,소초면 행정복지센터,033-737-5502 ,26305,강원도 원주시 소초면 치악로 2790,
4190045,지자체,7읍면동_면,강원도,강원도 원주시 신림면 행정복지센터,신림면 행정복지센터,033-737-5701,26506,강원도 원주시 신림면 치악로 28,
4190040,지자체,7읍면동_면,강원도,강원도 원주시 지정면 행정복지센터,지정면 행정복지센터,033-737-5504 ,26359,강원도 원주시 지정면 간현로 126,
4190044,지자체,7읍면동_면,강원도,강원도 원주시 판부면 행정복지센터,판부면 행정복지센터,033-737-5508,26471,강원도 원주시 치악로 1503 (관설동),
4190039,지자체,7읍면동_면,강원도,강원도 원주시 호저면 행정복지센터,호저면 행정복지센터,033-737-5503,26303,강원도 원주시 호저면 호저로 429,
4190043,지자체,7읍면동_면,강원도,강원도 원주시 흥업면 행정복지센터,흥업면 행정복지센터,033-737-5507,26403,강원도 원주시 흥업면 울업1길 3,
4330024,지자체,7읍면동_면,강원도,강원도 인제군 기린면사무소,기린면사무소,033-461-5004,24659,강원도 인제군 기린면 기린로42번길 9,
4330022,지자체,7읍면동_면,강원도,강원도 인제군 남면사무소,남면사무소,033-461-6181,24649,강원도 인제군 남면 신남로58번길 37,
4330023,지자체,7읍면동_면,강원도,강원도 인제군 북면사무소,북면사무소,033-461-3301,24612,강원도 인제군 북면 금강로 55,
4330026,지자체,7읍면동_면,강원도,강원도 인제군 상남면사무소,상남면사무소,033-461-6797,24664,강원도 인제군 상남면 상남로38번길 10,
4330025,지자체,7읍면동_면,강원도,강원도 인제군 서화면사무소,서화면사무소,033-462-4004,24603,강원도 인제군 서화면 천도로78번길 16,
4290029,지자체,7읍면동_면,강원도,강원도 정선군 남면 행정복지센터,남면 행정복지센터,033-560-2651,26145,강원도 정선군 남면 칠현로 80,
4290031,지자체,7읍면동_면,강원도,강원도 정선군 북평면 행정복시센터,북평면 행정복지센터,033-560-2671,26101,강원도 정선군 북평면 북평6길 36,
4290064,지자체,7읍면동_면,강원도,강원도 정선군 여량면 행정복지센터,여량면 행정복지센터,033-560-2661,26106,강원도 정선군 여량면 서동로 2885,
4290032,지자체,7읍면동_면,강원도,강원도 정선군 임계면 행정복지센터,임계면 행정복지센터,033-560-2681,26110,강원도 정선군 임계면 서동로 4575,
4290063,지자체,7읍면동_면,강원도,강원도 정선군 화암면 행정복지센터,화암면 행정복지센터,033-560-2641,26116,강원도 정선군 화암면 그림바위길 40,
4300027,지자체,7읍면동_면,강원도,강원도 철원군 근남면사무소,근남면사무소,033-450-5606,24064,강원도 철원군 근남면 하오재로 2050,
4300026,지자체,7읍면동_면,강원도,강원도 철원군 서면사무소,서면사무소,033-450-5605,24062,강원도 철원군 서면 신술2길 40,
4180065,지자체,7읍면동_면,강원도,강원도 춘천시 남면사무소,남면사무소,033-250-3606,24468,강원도 춘천시 남면 충효로 1130-10 (발산리),
4180069,지자체,7읍면동_면,강원도,강원도 춘천시 남산면행정복지센터,남산면사무소,033-250-3607,24465,강원도 춘천시 남산면 한치로 73 (창촌리),
4180068,지자체,7읍면동_면,강원도,강원도 춘천시 동내면행정복지센터,동내면사무소,033-250-3605,24407,강원도 춘천시 동내면 동내로 78 (신촌리),
4180062,지자체,7읍면동_면,강원도,강원도 춘천시 동면행정복지센터,동면사무소,033-250-3602,24211,강원도 춘천시 동면 가산로 69 (지내리),
4180063,지자체,7읍면동_면,강원도,강원도 춘천시 동산면행정복지센터,동산면사무소,033-250-3603,24410,강원도 춘천시 동산면 조양길 270 (조양리),
4180067,지자체,7읍면동_면,강원도,강원도 춘천시 북산면행정복지센터,북산면사무소,033-250-3610,24208,강원도 춘천시 북산면 북산로 493 (오항리),
4180070,지자체,7읍면동_면,강원도,강원도 춘천시 사북면행정복지센터,사북면사무소,033-250-3609,24200,강원도 춘천시 사북면 영서로 4721 (신포리),
4180066,지자체,7읍면동_면,강원도,강원도 춘천시 서면행정복지센터,서면사무소,033-250-3608,24461,강원도 춘천시 서면 금산길 31 (금산리),
4180064,지자체,7읍면동_면,강원도,강원도 춘천시 신동면행정복지센터,신동면사무소,033-250-3604,24412,강원도 춘천시 신동면 김유정로 1418 (증리),
4280077,지자체,7읍면동_면,강원도,강원도 평창군 대관령면사무소,대관령면사무소,033-330-2608,25344,강원도 평창군 대관령면 대관령로 83,
4280025,지자체,7읍면동_면,강원도,강원도 평창군 대화면사무소,대화면사무소,033-330-2604,25358,강원도 평창군 대화면 남산1길 28,
4280023,지자체,7읍면동_면,강원도,강원도 평창군 미탄면사무소,미탄면사무소,033-330-2602,25382,강원도 평창군 미탄면 청옥산1길,
4280024,지자체,7읍면동_면,강원도,강원도 평창군 방림면사무소,방림면사무소,033-330-2603,25365,강원도 평창군 방림면 서동로 1337,
4280026,지자체,7읍면동_면,강원도,강원도 평창군 봉평면사무소,봉평면사무소,033-330-2605,25303,강원도 평창군 봉평면 기풍4길 10,
4280027,지자체,7읍면동_면,강원도,강원도 평창군 용평면사무소,용평면사무소,033-330-2606,25313,강원도 평창군 용평면 경강로 2027,
4280028,지자체,7읍면동_면,강원도,강원도 평창군 진부면사무소,진부면사무소,033-330-2607,25325,강원도 평창군 진부면 석두산2길 13,
4250035,지자체,7읍면동_면,강원도,강원도 홍천군 남면사무소,남면사무소,033-432-4004,25108,강원도 홍천군 남면 양덕원로 97,
4250038,지자체,7읍면동_면,강원도,강원도 홍천군 내면사무소,내면사무소,033-430-4501,25171,강원도 홍천군 내면 창촌로 59,
4250032,지자체,7읍면동_면,강원도,강원도 홍천군 내촌면사무소,내촌면사무소,033-433-3003,25161,강원도 홍천군 내촌면 내촌길 27,
4250034,지자체,7읍면동_면,강원도,강원도 홍천군 동면사무소,동면사무소,033-433-6559,25154,강원도 홍천군 동면 공작산로 497,
4250031,지자체,7읍면동_면,강원도,강원도 홍천군 두촌면사무소,두촌면사무소,033-435-3327,25160,강원도 홍천군 두촌면 자은로 349,
4250037,지자체,7읍면동_면,강원도,강원도 홍천군 북방면사무소,북방면사무소,033-435-6003,25115,강원도 홍천군 북방면 영서로 2698,
4250036,지자체,7읍면동_면,강원도,강원도 홍천군 서면사무소,서면사무소,033-430-4481,25101,강원도 홍천군 서면 팔봉산로 617,
4250033,지자체,7읍면동_면,강원도,강원도 홍천군 서석면사무소,서석면사무소,033-433-4032,25166,강원도 홍천군 서석면 풍암길 10,
4250030,지자체,7읍면동_면,강원도,강원도 홍천군 화촌면사무소,화촌면사무소,033-432-2801,25157,강원도 홍천군 화촌면 성산로 143,
4310021,지자체,7읍면동_면,강원도,강원도 화천군 간동면사무소,간동면사무소,033-440-2602,24138,강원도 화천군 간동면 파로호로 919,
4310024,지자체,7읍면동_면,강원도,강원도 화천군 사내면사무소,사내면사무소,033-440-2605,24157,강원도 화천군 사내면 사내로 11,
4310023,지자체,7읍면동_면,강원도,강원도 화천군 상서면사무소,상서면사무소,033-440-2604,24106,강원도 화천군 상서면 하양지길 39,
4310022,지자체,7읍면동_면,강원도,강원도 화천군 하남면사무소,하남면사무소,033-440-2603,24145,강원도 화천군 하남면 원천새싹길 6,
4260031,지자체,7읍면동_면,강원도,강원도 횡성군 갑천면사무소,갑천면사무소,033-340-2605,25258,강원도 횡성군 갑천면 청정로 295,
4260035,지자체,7읍면동_면,강원도,강원도 횡성군 강림면사무소,강림면사무소,033-340-2609,25272,강원도 횡성군 강림면 태종로 42,
4260033,지자체,7읍면동_면,강원도,강원도 횡성군 공근면사무소,공근면사무소,033-340-2607,25208,강원도 횡성군 공근면 학담시장길 11,
4260030,지자체,7읍면동_면,강원도,강원도 횡성군 둔내면사무소,둔내면사무소,033-340-2604,25264,강원도 횡성군 둔내면 둔내로51번길 17,
4260034,지자체,7읍면동_면,강원도,강원도 횡성군 서원면사무소,서원면사무소,033-340-2608,25201,강원도 횡성군 서원면 서원로 161,
4260029,지자체,7읍면동_면,강원도,강원도 횡성군 안흥면사무소,안흥면사무소,033-340-2603,25271,강원도 횡성군 안흥면 안흥로 27,
