servicename,link,institution
2019 SPC 2차 의료비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000450,푸르메재단
한국장애인재단 장애인 차량 정비 지원사업 ,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000449,한국장애인재단
저소득층 지상파방송 안테나 설치지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000448,한국전파진흥협회
전자산업 재해 근로자 지원 사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000447,한국의료지원재단
2019 SPC 장애어린이 정형신발 및 인솔 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000446,푸르메재단
세이브더칠드런 위기아동지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000445,세이브더칠드런코리아
세이브더칠드런 아동의료지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000444,세이브더칠드런코리아
장애아동 이동권 증진사업(세잎클로버),http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300127626,토도웍스
모아사랑 태교음악회(임신부 출산용품 후원),http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000443,(사)월드휴먼브리지
희망나눔 의료/생활 지원 사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=1&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000441,희망나눔 주주연대
대학생 장학사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300122167,더라이트핸즈
장애청소년 운동선수지원사업 '점프',http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000434,사회복지법인 밀알복지재단
저소득 전자산업 재해 근로자 지원 사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000432,한국의료지원재단
밀알복지재단 2019년 국내지원사업(재활치료비&수술비)안내,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000431,밀알복지재단
2019년 노인일자리 및 사회활동 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000427,송파노인종합복지관
대학생아시아대장정,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300109903,대산문화재단
탈북대학생 기숙사 메리메이트,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300109910,열매나눔재단
저소득층 화농성한선염 질환 생물학적 제제 약제비 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300107358,한국의료지원재단
비감염성 포도막염 생물학적 제제 약제비 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300107278,한국의료지원재단
"희망이음 무료나눔교육 ""온라인교육컨텐츠+문구류물품 지급""",http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=2&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000420,사)한국장애인문화협회
저소득층을 위한 교육나눔,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=4&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000381,주식회사 제이티비그룹
무료법률구조 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=4&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300052606,소상공인시장진흥공단―부천소상공인지원센터
꿈과 희망+행복,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=4&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300052509,홀트아동복지회
어린이재단 서울지역본부 특별지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=4&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000371,어린이재단 서울지역본부
대산창작기금,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=4&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300030635,대산문화재단
기아드림(dream) 장학금 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=4&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S5300030497,기아자동차
